step,agent_model_0,agent_model_1,agent_model_2,agent_model_3,agent_model_4,agent_cumulative_return_mean,agent_cumulative_return_std,benchmark_cumulative_return
37,-0.022461604326963425,-0.02246154099702835,-0.022461561486124992,-0.022461580112576485,-0.022461429238319397,-0.02246154323220253,6.787035227629818e-08,-0.00506529351696372
38,-0.011214371770620346,-0.011214329861104488,-0.011214341036975384,-0.011214407160878181,-0.01121423952281475,-0.01121433787047863,6.264347301340288e-08,0.006619002670049667
39,-0.006608821917325258,-0.00660880608484149,-0.0066087995655834675,-0.006608862895518541,-0.006608693860471249,-0.006608796864748001,6.262962547952014e-08,0.01095662359148264
40,-0.00985579751431942,-0.00985576119273901,-0.009855826385319233,-0.009855757467448711,-0.009855668060481548,-0.009855762124061584,5.969189241141851e-08,0.006022879853844643
41,-0.012118944898247719,-0.012118903920054436,-0.012118945829570293,-0.012118986807763577,-0.012118850834667683,-0.01211892645806074,5.1439872220692993e-08,0.0005928888567723334
42,-0.004620887339115143,-0.004620863124728203,-0.004620866850018501,-0.004620944149792194,-0.004620740190148354,-0.004620860330760479,7.456399091053045e-08,0.008637061342597008
43,0.012912100180983543,0.012912134639918804,0.012912114150822163,0.01291201263666153,0.01291219424456358,0.012912111170589925,6.574702041623488e-08,0.022622879594564438
44,0.0003060672606807202,0.00030615300056524575,0.0003060375456698239,0.0003060373419430107,0.0003062110918108374,0.0003061012481339276,7.752596282910638e-08,0.008286844938993454
45,-0.008401759900152683,-0.008401713334023952,-0.00840176735073328,-0.008401804603636265,-0.008401691913604736,-0.008401747420430183,4.490481676251937e-08,0.0055194757878780365
46,-0.011670340783894062,-0.01167032215744257,-0.011670328676700592,-0.011670337989926338,-0.011670169420540333,-0.011670299805700779,7.32643713925209e-08,0.002914845710620284
47,0.002688759006559849,0.0026887725107371807,0.0026887354906648397,0.002688740612939,0.002688830718398094,0.0026887676678597925,3.8213814819880764e-08,0.014845152385532856
48,-0.00014037598157301545,-0.00014033328625373542,-0.00014038410154171288,-0.00014040553651284426,-0.00014025795098859817,-0.00014035137137398125,5.844918310747143e-08,0.013511584140360355
49,-0.019607212394475937,-0.019607149064540863,-0.019607188180088997,-0.019607212394475937,-0.019607074558734894,-0.019607167318463327,5.7957903161531725e-08,-0.0009988242527469993
50,-0.008165855892002583,-0.008165796287357807,-0.008165799081325531,-0.008165905252099037,-0.008165721781551838,-0.00816581565886736,6.911706189009144e-08,0.006794493645429611
51,-0.0033682668581604958,-0.0033681432250887156,-0.0033682382199913263,-0.0033682440407574177,-0.003368097823113203,-0.0033681980334222318,7.333917657375167e-08,0.01129993051290512
52,-0.008655070327222347,-0.00865501631051302,-0.008655044250190258,-0.008655097335577011,-0.008654974400997162,-0.00865504052489996,4.7666068357487e-08,0.005237405654042959
53,-0.011606280691921711,-0.011606250889599323,-0.01160634309053421,-0.011606399901211262,-0.011606155894696712,-0.011606286093592644,9.276459063096516e-08,0.0010450724512338638
54,-0.019959965720772743,-0.01995992101728916,-0.01995997503399849,-0.019960032775998116,-0.019959887489676476,-0.019959956407546997,5.538042168065349e-08,-0.007719489745795727
55,-0.02503110095858574,-0.025031104683876038,-0.025031113997101784,-0.025031140074133873,-0.02503105066716671,-0.025031102076172828,3.254569333155216e-08,-0.013181012123823166
56,-0.02491174079477787,-0.024911722168326378,-0.02491173893213272,-0.024911772459745407,-0.0249116662889719,-0.024911728128790854,3.905785228061067e-08,-0.017739377915859222
57,-0.02655596286058426,-0.026555949822068214,-0.02655595913529396,-0.026555994525551796,-0.02655583620071411,-0.026555940508842468,6.068622528629344e-08,-0.018011411651968956
58,-0.04380667954683304,-0.043806664645671844,-0.04380667582154274,-0.04380674287676811,-0.043806564062833786,-0.0438066653907299,6.438396708959598e-08,-0.032728411257267
59,-0.02874545007944107,-0.02874542400240898,-0.028745412826538086,-0.02874550223350525,-0.028745299205183983,-0.028745417669415473,7.466396294330397e-08,-0.01621769368648529
60,-0.03794253244996071,-0.037942513823509216,-0.0379425473511219,-0.03794252499938011,-0.03794242441654205,-0.0379425086081028,4.861468156504578e-08,-0.022504881024360657
61,-0.03584717586636543,-0.035847194492816925,-0.035847194492816925,-0.03584723174571991,-0.035847123712301254,-0.03584718406200409,3.937193033282563e-08,-0.025617269799113274
62,-0.043928828090429306,-0.043928857892751694,-0.04392887279391289,-0.04392887279391289,-0.04392876476049423,-0.0439288392663002,4.5472963212928556e-08,-0.028041813522577286
63,-0.030157420784235,-0.03015737608075142,-0.03015739656984806,-0.030157458037137985,-0.030157310888171196,-0.030157392472028734,5.4867468687831326e-08,-0.014882939867675304
64,-0.021166039630770683,-0.021165968850255013,-0.021165961399674416,-0.021166052669286728,-0.021165911108255386,-0.021165986731648444,5.879294173820005e-08,-0.003470813389867544
65,-0.02390829659998417,-0.02390831708908081,-0.023908281698822975,-0.023908337578177452,-0.023908181115984917,-0.023908282816410064,6.063761109806718e-08,-0.0034110769629478455
66,-0.03807588294148445,-0.038075823336839676,-0.038075897842645645,-0.038075920194387436,-0.0380757637321949,-0.03807585760951042,6.357052626520855e-08,-0.01951288804411888
67,-0.03141031786799431,-0.03141026943922043,-0.03141032159328461,-0.0314103439450264,-0.03141019865870476,-0.0314102903008461,5.798782618648024e-08,-0.01584147848188877
68,-0.039250005036592484,-0.03925003111362457,-0.039250001311302185,-0.03925006091594696,-0.03924988955259323,-0.03924999758601189,6.495265578539184e-08,-0.03275145962834358
69,-0.046971291303634644,-0.04697118699550629,-0.04697123169898987,-0.04697131738066673,-0.0469711497426033,-0.04697123542428017,6.989264130329236e-08,-0.04590553417801857
70,-0.027616359293460846,-0.027616288512945175,-0.027616413310170174,-0.027616415172815323,-0.027616281062364578,-0.02761635147035122,6.493128626489723e-08,-0.027925610542297363
71,-0.027911799028515816,-0.02791173942387104,-0.02791176550090313,-0.027911825105547905,-0.02791169472038746,-0.02791176475584507,5.0901699222314367e-08,-0.03832314535975456
72,-0.01395142450928688,-0.013951348140835762,-0.013951439410448074,-0.013951399363577366,-0.013951278291642666,-0.01395137794315815,6.562025105288328e-08,-0.03568754345178604
73,0.0011897027725353837,0.001189741538837552,0.0011897474760189652,0.0011896983487531543,0.0011898123193532228,0.0011897404910996556,4.584717091150098e-08,-0.02008497156202793
74,-0.0022077737376093864,-0.0022077409084886312,-0.002207745797932148,-0.002207809826359153,-0.002207657555118203,-0.0022077455651015043,5.632649209998808e-08,-0.024852607399225235
75,0.006222216412425041,0.006222268100827932,0.006222236435860395,0.00622218195348978,0.00622235331684351,0.006222251243889332,6.50705625632247e-08,-0.010097741149365902
76,0.0001577091170474887,0.00015772458573337644,0.00015769174206070602,0.00015762484690640122,0.0001578028459334746,0.0001577106275362894,6.406310028746869e-08,-0.009066012687981129
77,-0.002464481396600604,-0.0024643626529723406,-0.002464417601004243,-0.002464461838826537,-0.0024642834905534983,-0.0024644013959914447,8.018533227204141e-08,-0.01425775047391653
78,-0.006645002402365208,-0.006644952576607466,-0.006644949782639742,-0.006644979119300842,-0.006644866429269314,-0.006644950062036514,5.144092606377213e-08,-0.022772973403334618
79,0.009010330773890018,0.009010376408696175,0.00901036150753498,0.00901035126298666,0.009010490030050278,0.009010381996631622,6.263101037068263e-08,-0.008229953236877918
80,0.003035425441339612,0.003035459201782942,0.0030354862101376057,0.0030354205518960953,0.003035544417798519,0.0030354671645909546,5.076359488437823e-08,-0.009378897957503796
81,0.00922615360468626,0.009226151742041111,0.009226175025105476,0.009226121939718723,0.009226316586136818,0.009226183779537678,7.660828759181957e-08,-0.0011961142299696803
82,0.01966072805225849,0.01966080628335476,0.01966077834367752,0.019660737365484238,0.019660871475934982,0.019660784304141997,5.806256628167004e-08,0.0051567736081779
83,0.02262602373957634,0.02262604422867298,0.022626040503382683,0.022625936195254326,0.022626187652349472,0.02262604646384716,9.034693046175541e-08,0.008262715302407742
84,0.027728477492928505,0.027728524059057236,0.02772846817970276,0.027728453278541565,0.027728639543056488,0.027728512510657312,7.578013324660773e-08,0.02038518153131008
85,0.030952176079154015,0.03095223940908909,0.030952202156186104,0.030952172353863716,0.030952341854572296,0.030952226370573044,6.989264130329236e-08,0.02769646979868412
86,0.033777836710214615,0.033777911216020584,0.03377784788608551,0.03377784416079521,0.03377798572182655,0.033777885138988495,6.365778852490731e-08,0.024623816832900047
87,0.02844613417983055,0.028446199372410774,0.028446214273571968,0.028446150943636894,0.02844627946615219,0.028446195647120476,5.7365237155685176e-08,0.023494916036725044
88,0.030996741726994514,0.030996808782219887,0.03099680133163929,0.03099670447409153,0.030996842309832573,0.03099677972495556,5.553057221834088e-08,0.024502703920006752
89,0.03657005727291107,0.03657020628452301,0.036570120602846146,0.03657006472349167,0.036570221185684204,0.03657013401389122,7.69612879074617e-08,0.030478956177830696
90,0.039895787835121155,0.03989584371447563,0.039895832538604736,0.03989576920866966,0.039895862340927124,0.03989581912755966,3.912441686724461e-08,0.03625446557998657
91,0.03634839877486229,0.036348506808280945,0.036348503082990646,0.03634841367602348,0.03634863719344139,0.03634849190711975,9.519556417450784e-08,0.034067302942276
92,0.04671832546591759,0.046718426048755646,0.04671837389469147,0.0467182993888855,0.04671849310398102,0.04671838358044624,7.803571804032422e-08,0.04332129657268524
93,0.04831715300679207,0.04831722006201744,0.04831712692975998,0.04831716790795326,0.04831728711724281,0.04831719100475311,6.357052626520855e-08,0.042991574853658676
94,0.05328264832496643,0.0532827191054821,0.053282659500837326,0.05328264832496643,0.05328279733657837,0.05328269451856613,6.455617459768416e-08,0.04574597254395485
95,0.04976760968565941,0.04976765811443329,0.04976765438914299,0.049767572432756424,0.04976773262023926,0.04976764544844627,6.010314606053582e-08,0.040331318974494934
96,0.05018238723278046,0.05018245801329613,0.05018242076039314,0.05018239840865135,0.0501825176179409,0.05018243640661239,5.2841374953082634e-08,0.03913864865899086
97,0.05936351791024208,0.05936359241604805,0.05936350300908089,0.059363462030887604,0.05936369672417641,0.05936355441808701,9.24742820852115e-08,0.047120872884988785
98,0.05796940624713898,0.057969480752944946,0.05796949565410614,0.05796939507126808,0.05796956643462181,0.057969468832015994,7.025901453364973e-08,0.04457720369100571
99,0.058084722608327866,0.05808471888303757,0.05808474123477936,0.058084744960069656,0.058084916323423386,0.05808476880192757,8.324169299360602e-08,0.04623536020517349
100,0.05615929886698723,0.05615939944982529,0.05615930259227753,0.05615929141640663,0.056159455329179764,0.056159349530935286,7.387918478714708e-08,0.03894370049238205
101,0.0502309687435627,0.050231024622917175,0.0502309575676918,0.05023087188601494,0.05023114010691643,0.05023099258542061,9.893434055398326e-08,0.03354910388588905
102,0.062635138630867,0.06263519078493118,0.06263512372970581,0.06263509392738342,0.06263525784015656,0.0626351609826088,6.452392069879463e-08,0.04354613646864891
103,0.0695476308465004,0.06954775005578995,0.06954766809940338,0.06954770535230637,0.0695478618144989,0.0695477232336998,8.918939382818591e-08,0.0505334697663784
104,0.06905031204223633,0.06905040889978409,0.06905034184455872,0.06905034184455872,0.06905046850442886,0.06905037462711335,6.335184475624953e-08,0.046809595078229904
105,0.06813235580921173,0.0681324377655983,0.06813239306211472,0.06813238561153412,0.06813246011734009,0.0681324064731598,4.1948819936094424e-08,0.03906332328915596
106,0.06211240962147713,0.062112562358379364,0.06211249157786369,0.06211249157786369,0.06211259216070175,0.06211250945925713,7.114231661613174e-08,0.03198558837175369
107,0.06407617032527924,0.0640762448310852,0.06407617032527924,0.06407611072063446,0.06407628953456879,0.06407619714736938,7.020961635941117e-08,0.03794463351368904
108,0.06953147053718567,0.06953143328428268,0.06953148543834686,0.06953143328428268,0.06953157484531403,0.06953147947788238,5.8047625961251424e-08,0.04686375707387924
109,0.0687878280878067,0.06878788769245148,0.06878785043954849,0.0687878429889679,0.06878795474767685,0.06878787279129028,5.080618596444225e-08,0.04386238381266594
110,0.07283087074756622,0.07283098250627518,0.07283096015453339,0.0728309154510498,0.07283110916614532,0.07283096760511398,9.002570788260231e-08,0.050107166171073914
111,0.06903380155563354,0.06903392821550369,0.06903386861085892,0.06903381645679474,0.06903402507305145,0.06903388798236847,9.134180877373763e-08,0.047644875943660736
112,0.07253672182559967,0.07253682613372803,0.07253681123256683,0.07253673672676086,0.07253685593605042,0.07253679037094116,5.828621153714641e-08,0.05230458825826645
113,0.0771976113319397,0.07719764858484268,0.07719757407903671,0.07719765603542328,0.07719770073890686,0.07719763815402984,4.7881212869464244e-08,0.052766308188438416
114,0.06921640783548355,0.06921644508838654,0.06921643763780594,0.06921640783548355,0.06921660155057907,0.06921645998954773,8.093402155637902e-08,0.04809887334704399
115,0.06659117341041565,0.06659125536680222,0.06659122556447983,0.06659116595983505,0.06659139692783356,0.06659124344587326,9.344465789266317e-08,0.047899600118398666
116,0.06435615569353104,0.06435631215572357,0.06435617804527283,0.06435622274875641,0.06435629725456238,0.06435623317956925,6.981317266894863e-08,0.0492100827395916
117,0.06934843212366104,0.06934856623411179,0.06934854388237,0.06934843212366104,0.06934861093759537,0.06934851706027985,8.120791073702998e-08,0.05894903093576431
118,0.06940622627735138,0.06940631568431854,0.06940627843141556,0.06940624862909317,0.0694064274430275,0.06940629929304123,7.909555451327689e-08,0.055932678282260895
119,0.057507824152708054,0.057507917284965515,0.05750786513090134,0.05750783160328865,0.05750798434019089,0.057507884502410886,6.681679682365739e-08,0.04653333127498627
120,0.046074140816926956,0.04607420042157173,0.04607420787215233,0.04607409983873367,0.04607425630092621,0.04607418105006218,6.117874934785411e-08,0.039024826139211655
121,0.04197884351015091,0.04197889566421509,0.04197895899415016,0.04197880998253822,0.04197900369763374,0.04197890236973763,7.987251752168768e-08,0.03516822308301926
122,0.041330933570861816,0.04133092612028122,0.04133094102144241,0.04133092984557152,0.04133104160428047,0.041330954432487486,4.904100964595086e-08,0.03658706322312355
123,0.05365072190761566,0.05365081503987312,0.05365079641342163,0.053650762885808945,0.05365089327096939,0.05365079790353775,6.401648802962881e-08,0.0436263307929039
124,0.04728943482041359,0.04728951305150986,0.04728948697447777,0.04728950932621956,0.047289617359638214,0.0472895123064518,6.650451845063211e-08,0.037326663732528687
125,0.04862101376056671,0.04862102121114731,0.048621051013469696,0.04862099513411522,0.04862115904688835,0.048621048033237454,6.524045923088444e-08,0.03883063420653343
126,0.061254024505615234,0.06125416234135628,0.06125408411026001,0.06125405803322792,0.06125422194600105,0.0612541101872921,8.054728921666612e-08,0.05746319144964218
127,0.06918095797300339,0.06918106228113174,0.06918098032474518,0.06918099522590637,0.06918112933635712,0.06918102502822876,7.00909186982616e-08,0.06798172742128372
128,0.06832939386367798,0.06832944601774216,0.06832944601774216,0.06832936406135559,0.06832949817180634,0.06832942962646485,5.199416375865907e-08,0.0633043497800827
129,0.06542346626520157,0.06542351096868515,0.06542354077100754,0.06542342901229858,0.06542366743087769,0.0654235228896141,9.134180877373763e-08,0.064834363758564
130,0.06805743277072906,0.06805749237537384,0.06805745512247086,0.06805738061666489,0.06805756688117981,0.0680574655532837,6.961410419224548e-08,0.06593109667301178
131,0.07168138772249222,0.07168149948120117,0.071681447327137,0.07168133556842804,0.07168152928352356,0.0716814398765564,7.937578764804645e-08,0.07075090706348419
132,0.07252262532711029,0.07252270728349686,0.07252265512943268,0.07252267003059387,0.07252272963523865,0.07252267748117447,4.148307712994532e-08,0.06802009046077728
133,0.07368399947881699,0.07368412613868713,0.07368408143520355,0.07368408143520355,0.0736842006444931,0.07368409782648086,7.345531907001876e-08,0.07385871559381485
134,0.08578009158372879,0.08578021824359894,0.08578012138605118,0.08578009158372879,0.08578029274940491,0.08578016310930252,8.918939382818591e-08,0.0772038996219635
135,0.08554882556200027,0.08554892241954803,0.08554892241954803,0.08554890006780624,0.08554905652999878,0.08554892539978028,8.339992355677915e-08,0.07624005526304245
136,0.09909401088953018,0.09909410029649734,0.09909406304359436,0.09909398853778839,0.09909412264823914,0.09909405708312988,5.708331259899722e-08,0.09175337851047516
137,0.08972490578889847,0.08972497284412384,0.08972500264644623,0.08972494304180145,0.08972503989934921,0.08972497284412384,5.188728972220465e-08,0.07816518843173981
138,0.0805501788854599,0.08055023849010468,0.08055024594068527,0.0805501788854599,0.08055029809474945,0.08055022805929184,5.0422323690916987e-08,0.07269705086946487
139,0.08515086024999619,0.08515089750289917,0.08515091985464096,0.0851508304476738,0.08515103161334991,0.08515090793371201,7.71773705636177e-08,0.07594320178031921
140,0.08019350469112396,0.08019358664751053,0.08019354194402695,0.08019346743822098,0.08019369095563889,0.08019355833530425,8.63110450361644e-08,0.07302018254995346
141,0.07666748017072678,0.07666751742362976,0.07666744291782379,0.076667420566082,0.07666760683059692,0.07666749358177186,7.326614718997193e-08,0.07309788465499878
142,0.07786557823419571,0.07786563783884048,0.07786562293767929,0.0778656080365181,0.07786571234464645,0.077865631878376,5.009095762363556e-08,0.07303276658058167
143,0.08071722090244293,0.08071726560592651,0.08071723580360413,0.08071723580360413,0.08071739971637726,0.080717271566391,7.345531907001876e-08,0.07583275437355042
144,0.07709220051765442,0.07709237188100815,0.07709231227636337,0.07709228247404099,0.07709239423274994,0.07709231227636337,7.68891254087921e-08,0.07636594772338867
145,0.09094837307929993,0.09094846248626709,0.09094841033220291,0.09094832092523575,0.09094855934381485,0.0909484252333641,9.109839246151957e-08,0.09065285325050354
146,0.09804008901119232,0.09804011881351471,0.09804008156061172,0.09804007411003113,0.09804023802280426,0.09804012030363082,6.795975119466412e-08,0.09500162303447723
147,0.09584083408117294,0.09584096819162369,0.0958409532904625,0.09584089368581772,0.09584102779626846,0.09584093540906906,7.405742192142711e-08,0.09276320040225983
148,0.091689832508564,0.09168990701436996,0.09168989956378937,0.0916898176074028,0.09168998152017593,0.09168988764286042,6.57173307871817e-08,0.08646026998758316
149,0.08825492113828659,0.08825504779815674,0.08825498074293137,0.0882549062371254,0.08825511485338211,0.08825499415397645,8.75879049878454e-08,0.08139060437679291
150,0.07917966693639755,0.07917971163988113,0.07917976379394531,0.07917974889278412,0.07917985320091248,0.07917974889278412,6.929440512410654e-08,0.07831230014562607
151,0.08096206188201904,0.08096224069595337,0.08096211403608322,0.08096212148666382,0.08096224069595337,0.08096215575933456,8.086540431508502e-08,0.08262451738119125
152,0.0862085297703743,0.08620868623256683,0.08620860427618027,0.0862085297703743,0.08620873838663101,0.08620861768722535,9.341495048199582e-08,0.09305453300476074
153,0.09291566908359528,0.09291569888591766,0.0929156243801117,0.09291563183069229,0.09291581809520721,0.09291568845510483,7.84259877618597e-08,0.09817230701446533
154,0.09786465764045715,0.0978647843003273,0.09786473959684372,0.09786468744277954,0.09786485135555267,0.09786474406719207,7.71773705636177e-08,0.10272607207298279
155,0.09795607626438141,0.09795612841844559,0.09795605391263962,0.09795600920915604,0.09795618802309036,0.0979560911655426,6.909384202581423e-08,0.1010119840502739
