Strategy,Type,Annual Return,Annual Volatility
PPO Agent,Agent,0.28885954818879767,0.13024110228546393
Equal Weight B&H,Benchmark,0.24265392404033514,0.1172830691384162
MSFT,Asset,0.21704815919809883,0.24743652550948142
GOOG,Asset,0.597327644662196,0.31404768709123076
AMZN,Asset,0.3831928108304876,0.33214662948671897
BRK-B,Asset,0.19490774305504566,0.1751601581837387
WMT,Asset,0.433176224973719,0.20717221859068322
COST,Asset,0.30848399678154936,0.19494691701508432
JPM,Asset,0.3585081436331645,0.23307608969373114
V,Asset,0.15745446397850515,0.200021122965005
LLY,Asset,0.5708276871322773,0.3386314098846293
PG,Asset,0.09858235027915851,0.16716584236952464
GLD,Asset,0.4361333888298258,0.17546164304271317
AAPL,Asset,0.2840479518542518,0.27281399224869257
UNH,Asset,-0.09044536664949121,0.35617164206636887
XOM,Asset,0.17329007389002848,0.24048191286929352
CVX,Asset,0.11447588971601275,0.23318027589511106
UNP,Asset,0.12292589114337593,0.21492948458848288
CAT,Asset,0.5737056449772169,0.30002815933422533
LIN,Asset,0.16969289705852764,0.1782330132519177
NEE,Asset,0.1608267851983003,0.26408363907804144
AMT,Asset,0.0394392178857903,0.25236589178978563
DBC,Asset,0.07019269896885594,0.15299101812076163
