Strategy,Type,Annual Return,Annual Volatility
PPO Agent,Agent,0.28885954818879767,0.13024110228546393
Equal Weight B&H,Benchmark,0.24265394451808153,0.1172830457247767
MSFT,Asset,0.21704820586783646,0.24743660089153716
GOOG,Asset,0.5973276608488953,0.31404771888298205
AMZN,Asset,0.3831928108304876,0.33214662948671897
BRK-B,Asset,0.19490774305504566,0.1751601581837387
WMT,Asset,0.4331762430737971,0.20717214099628467
COST,Asset,0.30848410776360957,0.19494701924622518
JPM,Asset,0.3585081296292667,0.2330760452832344
V,Asset,0.1574545110836496,0.20002120659189415
LLY,Asset,0.5708277584191552,0.338631454919484
PG,Asset,0.09858243850367443,0.16716585025001016
GLD,Asset,0.4361333888298258,0.17546164304271317
AAPL,Asset,0.28404798334676173,0.272814079697994
UNH,Asset,-0.09044535081839711,0.3561716819097472
XOM,Asset,0.17329008910855537,0.24048196722142187
CVX,Asset,0.11447590540553065,0.23318033341041158
UNP,Asset,0.12292585130278377,0.21492944011220963
CAT,Asset,0.5737055460899545,0.3000281052259621
LIN,Asset,0.16969294276104074,0.17823288271603902
NEE,Asset,0.1608268230303216,0.26408361527823726
AMT,Asset,0.0394392183868959,0.2523658930028742
DBC,Asset,0.0701927003794367,0.1529910266882913
