step,agent_model_0,agent_model_1,agent_model_2,agent_model_3,agent_model_4,agent_cumulative_return_mean,agent_cumulative_return_std,benchmark_cumulative_return
0,-0.004313969984650612,-0.002457852242514491,-0.0036721532233059406,0.0011252019321545959,0.00034966086968779564,-0.0017938225297257303,0.0024205076813084733,0.0008211430395022035
1,0.02577049657702446,0.02283095009624958,0.024480316787958145,0.028870360925793648,0.028073417022824287,0.026005108281970023,0.0024971426521484988,0.026684386655688286
2,0.006267877295613289,0.006560766603797674,0.007524766027927399,0.010072198696434498,0.010843279771506786,0.00825377767905593,0.0020828898737473714,0.0077875955030322075
3,0.010466440580785275,0.010239418596029282,0.012206231243908405,0.013258954510092735,0.014844532124698162,0.012203115411102772,0.0019341686078273503,0.010605163872241974
4,0.005855945870280266,0.004657466895878315,0.006209306884557009,0.008294441737234592,0.007616098970174789,0.006526652071624994,0.001445370440761165,-0.0008969649206846952
5,-0.004594676196575165,-0.004344809800386429,-0.005289310123771429,0.0013288676273077726,-0.0014915351057425141,-0.0028782927198335528,0.002762831173618562,-0.013896427117288113
6,-0.002348310546949506,-0.002522860886529088,-0.0031165468972176313,0.0041406480595469475,0.0002222201437689364,-0.0007249700254760682,0.0030066049996791315,-0.00876579713076353
7,-0.0035141317639499903,-0.0027966320049017668,-0.004436316434293985,0.0033911827486008406,-0.0013101572403684258,-0.0017332109389826655,0.0030841411999242975,-0.011802962981164455
8,-0.0031976643949747086,-0.0017272209515795112,-0.0035035014152526855,0.0029641790315508842,0.00010244088480249047,-0.0010723533690907062,0.0026706747597800952,-0.013522177003324032
9,0.02738279104232788,0.02717781811952591,0.02712417021393776,0.030623478814959526,0.02960347943007946,0.02838234752416611,0.0016237954755151643,0.02011456899344921
10,0.012414952740073204,0.015310452319681644,0.013296602293848991,0.017994288355112076,0.0167703740298748,0.015157333947718144,0.0023268342671891843,0.007593754678964615
11,-0.0020960804540663958,0.0016115427715703845,-0.0013667101738974452,0.00474098976701498,0.00297122192569077,0.0011721927672624587,0.0028850253187142462,-0.009138116613030434
12,-0.01893671415746212,-0.012953018769621849,-0.016391703858971596,-0.008892068639397621,-0.011392897926270962,-0.01371328067034483,0.003989500841450866,-0.026378139853477478
13,-0.024835238233208656,-0.0167989581823349,-0.021793652325868607,-0.013293363153934479,-0.015196955762803555,-0.01838363353163004,0.004791356673363325,-0.02624710649251938
14,-0.03497609123587608,-0.024234438315033913,-0.031596239656209946,-0.020014870911836624,-0.022491751238703728,-0.02666267827153206,0.006343090479869438,-0.034170035272836685
15,-0.027280038222670555,-0.017051687464118004,-0.022714274004101753,-0.012837382033467293,-0.013311825692653656,-0.01863904148340225,0.006241644774868459,-0.023653611540794373
16,-0.024054642766714096,-0.016002971678972244,-0.020745638757944107,-0.011328545399010181,-0.01178324967622757,-0.01678300965577364,0.005566334452045776,-0.023025577887892723
17,-0.03289583697915077,-0.022521482780575752,-0.029687829315662384,-0.018279582262039185,-0.019323816522955894,-0.024541709572076797,0.006457475430793904,-0.03139229491353035
18,-0.02248454838991165,-0.01224121730774641,-0.02047470584511757,-0.007461754605174065,-0.009200917556881905,-0.01437262874096632,0.006747004482841977,-0.019744638353586197
19,-0.025350505486130714,-0.014512036927044392,-0.023462342098355293,-0.008985279127955437,-0.011476517654955387,-0.016757336258888245,0.007282392239831282,-0.021839339286088943
20,-0.029967308044433594,-0.016988186165690422,-0.027341580018401146,-0.012106758542358875,-0.013743218034505844,-0.020029410161077975,0.008120395708896219,-0.026184367015957832
21,-0.02850431576371193,-0.01590043492615223,-0.02499520592391491,-0.010518950410187244,-0.011362076736986637,-0.01825619675219059,0.008114518984708661,-0.02503799833357334
22,-0.02413426712155342,-0.01336641889065504,-0.01852680742740631,-0.006304669193923473,-0.007151402998715639,-0.013896713126450777,0.007577348428171494,-0.018872149288654327
23,-0.029851805418729782,-0.014147408306598663,-0.02218196913599968,-0.008647779002785683,-0.009492408484220505,-0.01686427406966686,0.009030371037918317,-0.02437708154320717
24,-0.035541970282793045,-0.022088713943958282,-0.025747263804078102,-0.015819763764739037,-0.016658322885632515,-0.023171206936240196,0.008020365035357815,-0.03083992749452591
25,-0.03948952630162239,-0.022036084905266762,-0.02736698091030121,-0.018439386039972305,-0.0192757286131382,-0.025321541354060173,0.008654850634110124,-0.02968635968863964
26,-0.021390102803707123,-0.0010757138952612877,-0.007644108962267637,-0.0018459158018231392,-0.002696423791348934,-0.006930453050881624,0.008480098306066958,-0.009275151416659355
27,-0.02809891477227211,-0.006946371402591467,-0.013672860339283943,-0.008470847271382809,-0.00931566208600998,-0.013300931174308061,0.008641631211425499,-0.01648811064660549
28,-0.021112872287631035,0.0013820811873301864,-0.005780122708529234,-0.0020121608395129442,-0.0028625051490962505,-0.006077115959487856,0.008784352255789949,-0.005413991864770651
29,-0.01062898337841034,0.010498777963221073,0.0046141669154167175,0.007390331011265516,0.0065319715067744255,0.0036812528036534787,0.00827670973126125,0.006517443340271711
30,-0.01562933810055256,0.008686743676662445,0.0008765020756982267,0.004234671592712402,0.0033790136221796274,0.0003095185733400285,0.009345789812462493,0.0019035645527765155
31,-0.006843863520771265,0.016884472221136093,0.009468392468988895,0.011777186766266823,0.010915110819041729,0.008440259750932455,0.008989246006027228,0.014244369231164455
32,-0.007160349283367395,0.015513677150011063,0.010196254588663578,0.010364561341702938,0.009503659792244434,0.0076835607178509235,0.008638092135124167,0.012847552075982094
33,-0.030724558979272842,-0.0076417080126702785,-0.011983320116996765,-0.01190278586000204,-0.012744709849357605,-0.014999416563659907,0.009016452198211688,-0.010394337587058544
