Strategy,Type,Annual Return,Annual Volatility
PPO Agent,Agent,0.28885954818879767,0.13024110228546393
Equal Weight B&H,Benchmark,0.24265393311338057,0.11728304202858347
MSFT,Asset,0.21704816281446515,0.2474365387944697
GOOG,Asset,0.5973276476365541,0.31404769568417307
AMZN,Asset,0.3831928108304876,0.33214662948671897
BRK-B,Asset,0.19490774305504566,0.1751601581837387
WMT,Asset,0.43317616179149376,0.2071721381693553
COST,Asset,0.30848407641097775,0.1949470058162904
JPM,Asset,0.35850807782825367,0.23307605038921478
V,Asset,0.15745447678870894,0.20002117799872346
LLY,Asset,0.5708276704348196,0.3386314793477984
PG,Asset,0.09858248090960187,0.16716584217578098
GLD,Asset,0.4361333888298258,0.17546164304271317
AAPL,Asset,0.2840479438415342,0.27281396349700443
UNH,Asset,-0.09044542981203618,0.35617163725902595
XOM,Asset,0.17329006365222743,0.24048198094855838
CVX,Asset,0.11447597340944315,0.23318028952663186
UNP,Asset,0.12292595036750642,0.2149294934612456
CAT,Asset,0.573705650782931,0.3000280961583036
LIN,Asset,0.16969290944052817,0.178232898548825
NEE,Asset,0.16082681042559832,0.2640835732034808
AMT,Asset,0.039439195290676965,0.25236592197142
DBC,Asset,0.07019270236862996,0.15299103924499804
