step,agent_daily_return,agent_cumulative_return,benchmark_daily_return,benchmark_cumulative_return,portfolio_return,transaction_penality,weight_MSFT,weight_GOOG,weight_AMZN,weight_BRK-B,weight_WMT,weight_COST,weight_JPM,weight_V,weight_LLY,weight_PG,weight_GLD,weight_AAPL,weight_UNH,weight_XOM,weight_CVX,weight_UNP,weight_CAT,weight_LIN,weight_NEE,weight_AMT,weight_DBC
38,-0.003357944667312064,0.0772936967176967,-0.0024291858323449286,0.061797116513667705,-0.003357944667312064,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
39,-0.0006883184388631855,0.07655217560217475,0.0015874037576642758,0.06348261724629856,-0.0006883184388631855,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
40,-0.003734168217594822,0.07253214868345847,-0.006969441195155486,0.056070737683330485,-0.003734168217594822,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
41,-0.005286417004392369,0.06686229649490083,-0.005192388110287279,0.05058720854136123,-0.005286417004392369,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
42,0.014585707338733494,0.08242323772230442,0.009672526738543833,0.06074904140714965,0.014645707338733494,5.9999999999999995e-05,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
43,0.004694133878852883,0.08750427731375421,0.0066957763038445525,0.06785157970292954,0.004694133878852883,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
44,0.0015363598944324814,0.08917507527044277,-0.003544746593773785,0.06406631645312166,0.0015363598944324814,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
45,-0.004708487356593278,0.0840467081994154,-0.007399902302357679,0.05619232966813903,-0.004708487356593278,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
46,-0.004665151371929007,0.07898946621142366,-0.006811659882400469,0.0489979067480395,-0.004665151371929007,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
47,0.004124828636845235,0.0834401128605069,0.005774377139478302,0.055055216280125885,0.004124828636845235,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
48,0.007146714014470745,0.09118314949892681,0.008593034271097673,0.06412134191152119,0.007146714014470745,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
49,9.834736950102297e-05,0.09129046449132394,-0.0028670272370792064,0.061070477040703564,9.834736950102297e-05,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
50,0.0030315182411831967,0.09459873144085873,0.005982438798547841,0.06741826623054559,0.0030315182411831967,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
51,0.006239041281517284,0.10142797811301452,-0.002344817502251472,0.06491536519766528,0.006239041281517284,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
52,0.005132036824555422,0.10708054705628611,0.004447802997884392,0.06965189895148471,0.005132036824555422,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
53,0.0030193889178959116,0.11042325379128615,0.0004387178673036137,0.0701211743513499,0.0030193889178959116,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
54,-0.004399096488230694,0.1055383947550832,-0.004433465198295968,0.06537682936690348,-0.004399096488230694,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
55,0.0012432246888010846,0.10691282738186025,-0.00019012617995673944,0.06517427334012149,0.0012432246888010846,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
56,-0.0012001764402606045,0.10558433668501421,0.0012505544522437202,0.06650633177006227,-0.0012001764402606045,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
57,0.006174219722365431,0.11241045730131316,0.00928217270891902,0.07640582773670768,0.006174219722365431,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
58,0.0015931306108184012,0.11418267245263425,-0.002848373152111775,0.07333982227620583,0.0016531306108184011,5.9999999999999995e-05,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
59,-0.01300123629107239,0.0996969202566591,-0.008901507371202719,0.06378547993640882,-0.01300123629107239,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
60,-0.016222148469900652,0.08185747354436312,-0.007174630209640545,0.05615321249548,-0.016222148469900652,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
61,-0.002992730306426578,0.0786197658960528,-0.003711745081379402,0.05223304100381676,-0.002992730306426578,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
62,0.0009063118568430003,0.0795973317789096,0.0013706067172922828,0.053675238677973525,0.0009063118568430003,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
63,0.010703591973560118,0.0911529011140153,0.006790879423389422,0.060830620175246874,0.010703591973560118,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
64,-0.00674067259600912,0.0837977966554202,-0.006036399104190917,0.05442702316992265,-0.00674067259600912,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
65,0.004056302035386143,0.0881940078639405,0.001449849622389894,0.05595578379130317,0.004116302035386143,5.9999999999999995e-05,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
66,0.015785371609331075,0.10537155466112003,0.017936129086531527,0.07489554303905344,0.015785371609331075,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
67,0.010409922860732598,0.11687838727759026,0.009946895154289608,0.08558741630747613,0.010409922860732598,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
68,-0.004429679702258894,0.11193097375557493,-0.004379619723087895,0.08083295624788,-0.004429679702258894,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
69,-0.0015615842325157649,0.11019459987931235,0.0014389290931447077,0.08238819823345467,-0.0015615842325157649,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
70,0.006314503946500463,0.11720492806163385,0.0010299932307955455,0.08350305075072817,0.006314503946500463,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
71,0.003960752687006746,0.12162990048239108,0.004521685138269772,0.08840231039257751,0.003960752687006746,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
72,-0.0042110427093462,0.1169066690673799,-0.0025503958600066575,0.08562645364613064,-0.0042110427093462,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
73,-0.0013413688551538977,0.11540848524737912,0.005466777188500506,0.09156133157815582,-0.0013413688551538977,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
