step,agent_daily_return,agent_cumulative_return,benchmark_daily_return,benchmark_cumulative_return,portfolio_return,transaction_penality,weight_MSFT,weight_GOOG,weight_AMZN,weight_BRK-B,weight_WMT,weight_COST,weight_JPM,weight_V,weight_LLY,weight_PG,weight_GLD,weight_AAPL,weight_UNH,weight_XOM,weight_CVX,weight_UNP,weight_CAT,weight_LIN,weight_NEE,weight_AMT,weight_DBC
0,-0.011472651428438604,-0.011472651428438563,-0.006390855325743075,-0.006390855325743128,-0.011472651428438604,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
1,-0.005510303791399754,-0.01691973742517472,-0.003184040482147736,-0.009554547065818153,-0.005510303791399754,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
2,-0.006479642903515095,-0.023289746472153428,-0.002488266579272184,-0.012019039384946306,-0.006479642903515095,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
3,0.02033830849249824,-0.003425112028118016,0.0135385004161309,0.001356741261469896,0.02033830849249824,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
4,0.010577386374007944,0.007116045612594268,0.011584525299149143,0.012956983764086827,0.010577386374007944,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
5,0.0014409243578183844,0.008567223653867195,6.000412765123324e-05,0.013017765364245815,0.0014409243578183844,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
6,-0.016165945987526457,-0.007737219608510704,-0.016156951807822735,-0.0033495138512126266,-0.016165945987526457,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
7,0.006720720880488025,-0.0010684984214025528,0.0037444599257747575,0.0003824039541755475,0.006720720880488025,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
8,-0.014061066473396796,-0.015114540667469312,-0.01718215807378481,-0.01680632464479792,-0.014061066473396796,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
9,-0.011985463630948472,-0.02691884952094925,-0.01359944507284484,-0.03017721302875942,-0.011985463630948472,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
10,0.0210266174968224,-0.006458244376458477,0.018844962508030673,-0.011900938968852581,0.0210266174968224,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
11,-0.0033011097052741407,-0.009738034708542398,-0.010696226267321071,-0.02246987010016921,-0.0033011097052741407,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
12,0.008904251832387263,-0.0009204927895526405,0.0027406266544406314,-0.019790824970646992,0.008904251832387263,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
13,0.015155850595251581,0.014221406954506577,0.016180006957505634,-0.003931033698861275,0.015155850595251581,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
14,-0.006980436615049793,0.007141698709633992,-0.004865344672650936,-0.008777252537647495,-0.006980436615049793,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
15,0.011293409685033179,0.01851576252404219,0.015130927438578023,0.006220866929673274,0.011293409685033179,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
16,-0.006708673204522777,0.011682873119613024,0.001042197030295183,0.00726954732900853,-0.006708673204522777,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
17,-0.005512494343843533,0.006105977003777907,-0.005239204732643874,0.0019922559495944014,-0.005512494343843533,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
18,-0.0038832837031429006,0.0021989820596444165,-0.008638352090752836,-0.006663305949505927,-0.0038832837031429006,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
19,0.01812132401040732,0.020360154536447572,0.014881898905374672,0.008119430310352671,0.01812132401040732,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
20,-0.004403187221894391,0.015867317742262577,-0.0011585128816904327,0.006951510964055663,-0.004403187221894391,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
21,0.007798092934483494,0.023789145495121122,0.008260285072830978,0.015269217499136678,0.007798092934483494,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
22,0.009889193933376712,0.03391359490180834,0.006360521420772713,0.02172685910489114,0.009889193933376712,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
23,0.002120696210851008,0.03610621154486404,0.003089929871949903,0.024883923447813094,0.002120696210851008,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
24,0.007173906726220615,0.043539140864944814,0.01202318330483742,0.037206290725607216,0.007233906726220615,5.9999999999999995e-05,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
25,0.005196130362595167,0.04896150627934959,0.007165203131657535,0.04463808448808937,0.005196130362595167,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
26,0.00031008004624804306,0.04928676831172907,-0.002989842752545932,0.041514780882149216,0.00031008004624804306,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
27,-0.0006262411751733511,0.04862966173284766,-0.0011017701950574007,0.04036727093886161,-0.0006262411751733511,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
28,0.00498679827748165,0.05385896632369325,0.0009846649816799122,0.04139168415864081,0.00498679827748165,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
29,0.005393374413004049,0.05954282230757846,0.005833332308966374,0.04746646791613229,0.005393374413004049,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
30,0.004369084187253357,0.06417205409824045,0.005604702353845523,0.05333720569443612,0.004369084187253357,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
31,-0.0009989211058740906,0.0631090301731203,-0.0021106357408873446,0.05111399454089116,-0.0009989211058740906,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
32,0.00568412491730517,0.06915187470133954,0.008949089225753517,0.0605205074644759,0.00568412491730517,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
33,0.00015715963022085164,0.06931990221461737,-0.00031601648890399234,0.06018536549729636,0.00015715963022085164,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
34,0.00468556563884583,0.07433027080536814,0.0026408427746798867,0.06298514835959113,0.00468556563884583,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
