step,agent_model_0,agent_model_1,agent_model_2,agent_model_3,agent_model_4,agent_cumulative_return_mean,agent_cumulative_return_std,benchmark_cumulative_return
132,0.05528273805975914,0.06975866854190826,0.08472217619419098,0.055947158485651016,0.0645638108253479,0.06605491042137146,0.012068702915352251,0.06802012771368027
133,0.05956083536148071,0.07196583598852158,0.08734910935163498,0.05730636790394783,0.06474395841360092,0.0681852214038372,0.012104951744650778,0.07385878264904022
134,0.05627569183707237,0.08008935302495956,0.0926414281129837,0.05431907996535301,0.06390096247196198,0.06944530308246613,0.016464636456345407,0.07720400393009186
135,0.05997392162680626,0.08215160667896271,0.09504137933254242,0.05843984708189964,0.06848273426294327,0.07281789779663086,0.01558437488437812,0.07624012231826782
136,0.07427630573511124,0.0961775928735733,0.11048063635826111,0.07272014021873474,0.08237256854772568,0.08720544874668121,0.015988881775853264,0.09175343066453934
137,0.060211725533008575,0.08596876263618469,0.09945160895586014,0.061237987130880356,0.06961333751678467,0.07529668435454369,0.016991593648750775,0.07816524058580399
138,0.05884137004613876,0.0785612091422081,0.0943702906370163,0.058885958045721054,0.06738847494125366,0.07160946056246757,0.015075730209012442,0.07269707322120667
139,0.06490279734134674,0.08333940804004669,0.09819812327623367,0.06533817201852798,0.0742664784193039,0.0772089958190918,0.013956564877654546,0.0759432315826416
140,0.0673777237534523,0.08334384858608246,0.09888479113578796,0.06498821079730988,0.07231977581977844,0.07738287001848221,0.013939434431468254,0.07302021235227585
141,0.06558170169591904,0.08254334330558777,0.09872391074895859,0.06405529379844666,0.07035517692565918,0.07625188529491425,0.014508232177519936,0.07309787720441818
142,0.06522399187088013,0.08233162760734558,0.09746922552585602,0.06337332725524902,0.07033444941043854,0.07574652433395386,0.014215744638925495,0.07303280383348465
143,0.06575121730566025,0.08508004248142242,0.10069555789232254,0.06618422269821167,0.07368569076061249,0.07827934622764587,0.01477399499931965,0.07583282142877579
144,0.061259400099515915,0.08134619891643524,0.09779329597949982,0.06119851395487785,0.06916040927171707,0.07415156364440918,0.01556916249835984,0.07636599987745285
145,0.07073970884084702,0.09529519081115723,0.11139799654483795,0.0735708549618721,0.07963274419307709,0.08612729907035828,0.017024099495954164,0.09065290540456772
146,0.07809137552976608,0.1015491634607315,0.11852633953094482,0.07927457988262177,0.08654759079217911,0.09279780983924865,0.017152008825499276,0.09500162303447723
147,0.07949190586805344,0.09833097457885742,0.11717157810926437,0.07873088121414185,0.08795907348394394,0.0923368826508522,0.015984157416812163,0.09276328235864639
148,0.07621078938245773,0.09743406623601913,0.11788132786750793,0.07887664437294006,0.08731792867183685,0.09154415130615234,0.016895092813046894,0.08646031469106674
149,0.07124969363212585,0.092588871717453,0.11366989463567734,0.07291996479034424,0.08317624777555466,0.08672093451023102,0.01734264975771703,0.08139065653085709
150,0.06086835265159607,0.08315879851579666,0.10253999382257462,0.06224878504872322,0.07428208738565445,0.076619603484869,0.017137050605070345,0.07831233739852905
151,0.059008389711380005,0.08439110964536667,0.10194551199674606,0.06227952614426613,0.07411537319421768,0.0763479821383953,0.017489231667185492,0.08262458443641663
152,0.06545109301805496,0.09007588028907776,0.10785842686891556,0.06783223897218704,0.08120471239089966,0.08248447030782699,0.01737763492540205,0.09305459260940552
153,0.06999684870243073,0.0968935638666153,0.1135522648692131,0.07032185047864914,0.0855264961719513,0.08725820481777191,0.018520333866212314,0.09817232191562653
154,0.07500890642404556,0.10018131136894226,0.11642411351203918,0.07573208957910538,0.08916042745113373,0.09130136966705323,0.017481676818052662,0.10272615402936935
155,0.08027344942092896,0.10041570663452148,0.11723654717206955,0.07988692820072174,0.08711545169353485,0.09298561662435531,0.015897700617790344,0.1010119840502739
156,0.07773619145154953,0.09698832780122757,0.11507920920848846,0.0788307934999466,0.08486548066139221,0.09070000052452087,0.0156274511605485,0.10113825649023056
157,0.09114815294742584,0.10676152259111404,0.12324213236570358,0.09088259190320969,0.0960884764790535,0.10162457525730133,0.013688508170381043,0.11090755462646484
158,0.08662426471710205,0.0999416783452034,0.11932292580604553,0.08576303720474243,0.09118472784757614,0.0965673267841339,0.013908388325033794,0.11080015450716019
159,0.09321162104606628,0.10980017483234406,0.12751641869544983,0.09391672909259796,0.10121797025203705,0.10513258278369904,0.014195522354778754,0.11477869004011154
160,0.09478702396154404,0.11352841556072235,0.12953385710716248,0.09632369130849838,0.10494286566972733,0.10782317072153091,0.014268663465094486,0.11789777129888535
161,0.10043845325708389,0.11941911280155182,0.13530109822750092,0.1029798611998558,0.11215146631002426,0.11405799835920334,0.014070028751240625,0.12356226146221161
162,0.09161146730184555,0.10899389535188675,0.12444180995225906,0.09256871044635773,0.10492441058158875,0.10450805872678756,0.013477023268848679,0.125870943069458
163,0.09819862991571426,0.1155584529042244,0.13216890394687653,0.09811673313379288,0.10921671986579895,0.1106518879532814,0.014153884682522282,0.13290421664714813
